Epoch,Train Loss,Validation Loss,Validation Accuracy,mIoU
1,0.30431980929997055,0.28311981366138267,0.8933654415246212,0.7668067089387528
2,0.13393225586059684,0.18236193813458837,0.9309653665561869,0.8457547994146256
3,0.11216078677184294,0.15487121858380057,0.9403596511994949,0.8704516098927977
4,0.09947591538678661,0.14379047429320788,0.9445538884943182,0.8803165127196199
5,0.09022416259356973,0.13771953275709442,0.9477421184501262,0.8912651603075931
6,0.08377965347780605,0.13881457634646482,0.9466919685132575,0.8880946441155654
7,0.07877268982539937,0.13641366475459302,0.9478301077178031,0.8930861622377512
8,0.07406022712273698,0.13737497501301044,0.9472139362373737,0.8866730240758275
9,0.06995860949702089,0.13405827229673212,0.9482666015625,0.8887381301869796
10,0.06620981956826748,0.13045234609432896,0.9501663115530303,0.8962042728553068
11,0.06518009500202657,0.13476929113720404,0.9485303720801768,0.887192845580746
12,0.06267632272044436,0.1360019857835288,0.9490515999842172,0.8918528470047825
13,0.06224061601907873,0.13529955678515965,0.9491035846748738,0.8903786395091468
14,0.05922090481544868,0.1347610361949362,0.9493384528882576,0.8909919705804036
15,0.05635133026857751,0.13141519327958426,0.9504987866950757,0.8948008224575273
16,0.05580733105711882,0.13121083017551538,0.9508089685921717,0.8952634639803629
17,0.05551201845313675,0.13128323762705832,0.9507537286931819,0.8939825450937033
18,0.05531542808132071,0.13244504775061752,0.9504082327178031,0.894571508901287
19,0.0547509460482968,0.13211879540573468,0.9504693418560606,0.8938953583709425
20,0.05464725342370041,0.13212859796153176,0.9503831281565657,0.8934709512719045
